Week Starting,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,TOTAL
Sep 1,0.00,0.43,0.14,0.49,0.04,1.42,0.26,0.00,0.01,1.76,0.57,0.01,0.00,0.25,0.05,0.04,5.68
Sep 8,0.00,0.41,0.19,0.38,0.22,4.15,0.31,0.00,0.00,31.58,0.93,0.03,0.00,1.15,0.15,0.12,39.96
Sep 15,0.00,2.16,0.22,0.36,0.22,6.63,0.47,0.00,1.17,21.73,0.56,0.01,0.00,1.82,0.14,0.10,35.88
Sep 22,0.00,12.81,0.11,0.41,0.37,7.66,0.35,0.00,0.07,17.06,1.02,0.01,0.00,1.34,0.10,0.12,41.74
Oct 1,0.00,18.58,0.05,0.08,0.21,2.36,0.24,0.01,0.10,0.52,0.94,0.00,0.00,0.33,0.04,0.11,23.71
Oct 8,0.00,32.41,0.05,0.13,0.16,4.96,0.28,0.01,0.20,0.07,2.03,0.01,0.01,0.61,0.05,0.11,41.32
Oct 15,0.00,51.63,0.02,0.26,0.26,6.02,0.36,0.05,1.06,0.01,4.44,0.03,0.09,0.32,0.08,0.09,65.23
Oct 22,0.00,17.60,0.00,0.20,0.17,1.98,0.24,0.05,1.06,0.01,8.68,0.03,0.11,0.06,0.03,0.05,30.78
Nov 1,0.01,1.94,0.00,0.04,0.08,0.32,0.07,0.01,0.47,0.01,4.04,0.04,0.06,0.00,0.04,0.02,7.53
Nov 8,0.00,0.60,0.00,0.09,0.05,0.23,0.11,0.02,0.24,0.01,4.03,0.08,0.06,0.00,0.04,0.01,5.69
Nov 15,0.00,0.01,0.00,0.04,0.05,0.04,0.04,0.00,0.19,0.00,1.83,0.08,0.02,0.00,0.03,0.02,2.41
Nov 22,0.00,0.00,0.00,0.01,0.01,0.04,0.04,0.01,0.05,0.01,0.46,0.01,0.00,0.00,0.01,0.01,0.70