,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
0,2013-10-01,4,,2.0,,,,1.0,,,,,,,,,,,,,,,,3
1,2013-10-02,7,,40.0,,,1.0,9.0,1.0,,,,2.0,,,4.0,2.0,,,,,,1.0,60
2,2013-10-03,0,,,,,,,,,,,,,,,,,,,,,,0
3,2013-10-04,0,,,,,,,,,,,,,,,,,,,,,,0
4,2013-10-05,0,,,,,,,,,,,,,,,,,,,,,,0
5,2013-10-06,0,,,,,,,,,,,,,,,,,,,,,,0
6,2013-10-07,2,,11.0,,,,,,,,,,,,,,,,,,,,11
7,2013-10-08,4,,408.0,,,1.0,25.0,,,,,14.0,,,4.0,,2.0,1.0,,,,,455
8,2013-10-09,5,,74.0,,1.0,,2.0,,,1.0,,6.0,,,,,,,,,,,84
9,2013-10-10,5,,4.0,,,,,,,,,6.0,,,,,1.0,,,,,4.0,15
10,2013-10-11,0,,,,,,,,,,,,,,,,,,,,,,0
11,2013-10-12,4,,24.0,,,1.0,4.0,1.0,,,,8.0,,,,,,,,,,,38
12,2013-10-13,0,,,,,,,,,,,,,,,,,,,,,,0
13,2013-10-14,5.5,,398.0,,,6.0,34.0,3.0,,1.0,,53.0,,,1.0,1.0,,8.0,4.0,1.0,,2.0,512
14,2013-10-15,3,,,,,,,,,,,,,,,,,,,,,,0
15,2013-10-16,0,,,,,,,,,,,,,,,,,,,,,,0
16,2013-10-17,0,,,,,,,,,,,,,,,,,,,,,,0
17,2013-10-18,6,,82.0,,,,1.0,,,,,6.0,,,,,,,,,,,89
18,2013-10-19,0,,,,,,,,,,,,,,,,,,,,,,0
19,2013-10-20,6.25,,537.0,,4.0,,23.0,,,,,22.0,,,,1.0,,2.0,,,1.0,,590
20,2013-10-21,0,,,,,,,,,,,,,,,,,,,,,,0
21,2013-10-22,3,,140.0,,,,7.0,1.0,,,,4.0,,,1.0,1.0,,,,,,,154
22,2013-10-23,6,,229.0,,,1.0,61.0,1.0,,1.0,,96.0,4.0,3.0,,,,,,,,,396
23,2013-10-24,7,,78.0,,,,24.0,2.0,,,,31.0,,3.0,2.0,,,,,,1.0,,141
24,2013-10-25,6,,,77.0,,,32.0,2.0,1.0,,,74.0,,,,,,,,,,,186
25,2013-10-26,0,,,,,,,,,,,,,,,,,,,,,,0
26,2013-10-27,5,,52.0,,,,4.0,,,1.0,,4.0,1.0,,,,,,,,,2.0,64
27,2013-10-28,6.25,,133.0,,,1.0,7.0,1.0,,3.0,,105.0,,,,,,,,,,,250
28,2013-10-29,5.5,,,,,,,,,,,56.0,,,,,,1.0,,,,1.0,58
29,2013-10-30,4.25,,25.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,28
30,2013-10-31,0,,,,,,,,,,,,,,,,,,,,,,0
33,2013-11-01,0,,,,,,,,,,,,,,,,,,,,,,0
34,2013-11-02,0,,,,,,,,,,,,,,,,,,,,,,0
35,2013-11-03,4,,14.0,,,,1.0,1.0,,,,29.0,,,,,1.0,,2.0,,,2.0,50
36,2013-11-04,0,,,,,,,,,,,,,,,,,,,,,,0
37,2013-11-05,0,,,,,,,,,,,,,,,,,,,,,,0
38,2013-11-06,0,,,,,,,,,,,,,,,,,,,,,,0
39,2013-11-07,0,,,,,,,,,,,,,,,,,,,,,,0
40,2013-11-08,3,,1.0,,,,4.0,,,,,12.0,,2.0,,1.0,1.0,,1.0,,,,22
41,2013-11-09,0,,,,,,,,,,,,,,,,,,,,,,0
42,2013-11-10,4.25,,,,,,,1.0,,,,5.0,,,,,,,,,,,6
43,2013-11-11,0,,,,,,,,,,,,,,,,,,,,,,0
44,2013-11-12,3,,,,,1.0,,,1.0,,,24.0,,3.0,,,,1.0,,,,,30
45,2013-11-13,0,,,,,,,,,,,,,,,,,,,,,,0
46,2013-11-14,0,,,,,,,,,,,,,,,,,,,,,,0
47,2013-11-15,0,,,,,,,,,,,,,,,,,,,,,,0
48,2013-11-16,0,,,,,,,,,,,,,,,,,,,,,,0
49,2013-11-17,0,,,,,,,,,,,,,,,,,,,,,,0
50,2013-11-18,0,,,,,,,,,,,,,,,,,,,,,,0
51,2013-11-19,0,,,,,,,,,,,,,,,,,,,,,,0
52,2013-11-20,4,,,,,,1.0,,1.0,,,34.0,1.0,,,,1.0,,1.0,,,2.0,41
53,2013-11-21,0,,,,,,,,,,,,,,,,,,,,,,0
54,2013-11-22,0,,,,,,,,,,,,,,,,,,,,,,0
55,2013-11-23,2.25,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,3
56,2013-11-24,3,,,,,,,,,,,8.0,,,,,,,,,,,8
57,2013-11-25,0,,,,,,,,,,,,,,,,,,,,,,0
58,2013-11-26,0,,,,,,,,,,,,,,,,,,,,,,0
59,2013-11-27,0,,,,,,,,,,,,,,,,,,,,,,0
60,2013-11-28,4,,,,,,2.0,,,,,11.0,,,,,,1.0,,,,,14
61,2013-11-29,0,,,,,,,,,,,,,,,,,,,,,,0
62,2013-11-30,0,,,,,,,,,,,,,,,,,,,,,,0
65,2013-09-01,6,,,12.0,2.0,1.0,3.0,,,,,2.0,,,,1.0,,,,,,,21
66,2013-09-02,7,,,,1.0,,24.0,1.0,,,,11.0,,,,1.0,,,,,,1.0,39
67,2013-09-03,6,,,2.0,,,39.0,7.0,,,1.0,4.0,,,,1.0,,,,,,,54
68,2013-09-04,6,,1.0,2.0,2.0,,22.0,1.0,,,,2.0,,,,,1.0,,,,,,31
69,2013-09-05,8,,39.0,,4.0,1.0,200.0,9.0,,,36.0,19.0,,,22.0,5.0,,7.0,30.0,,,2.0,374
70,2013-09-06,4,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,3
71,2013-09-07,0,,,,,,,,,,,,,,,,,,,,,,0
72,2013-09-08,7,,16.0,3.0,9.0,2.0,224.0,1.0,,,127.0,9.0,,,29.0,2.0,1.0,,,,,2.0,425
73,2013-09-09,3.5,,,,,,2.0,2.0,,,,,,,,,,,,,,,4
74,2013-09-10,2.75,,,,,,,,,,,,,,,,,,,,,,0
75,2013-09-11,0,,,,,,,,,,,,,,,,,,,,,,0
76,2013-09-12,2.5,,,,,,,,,,,,,,,,,,,,,,0
77,2013-09-13,6.5,,22.0,4.0,5.0,8.0,175.0,,,,911.0,5.0,,,67.0,2.0,,,,,,,1199
78,2013-09-14,5.5,,30.0,2.0,5.0,,85.0,2.0,,,40.0,5.0,,,18.0,2.0,1.0,1.0,2.0,1.0,,2.0,196
79,2013-09-15,4,,,,,,3.0,,,,,,,,2.0,,1.0,,,,,,6
80,2013-09-16,6,,64.0,3.0,9.0,,93.0,9.0,,,409.0,2.0,,,19.0,1.0,4.0,,,,,,613
81,2013-09-17,3,,1.0,,,,,,,,5.0,1.0,,,,,,,,,,,7
82,2013-09-18,0,,,,,,,,,,,,,,,,,,,,,,0
83,2013-09-19,0,,,,,,,,,,,,,,,,,,,,,,0
84,2013-09-20,0,,,,,,,,,,,,,,,,,,,,,,0
85,2013-09-21,0,,,,,,,,,,,,,,,,,,,,,,0
86,2013-09-22,7,,159.0,2.0,2.0,4.0,200.0,2.0,,1.0,163.0,15.0,,,67.0,1.0,1.0,,4.0,,,2.0,623
87,2013-09-23,8,,165.0,3.0,1.0,3.0,105.0,3.0,,1.0,120.0,12.0,,,17.0,,,,6.0,1.0,,5.0,442
88,2013-09-24,6,,165.0,,2.0,1.0,12.0,4.0,,,4.0,1.0,,,3.0,3.0,,,1.0,,,1.0,197
89,2013-09-25,5,,,,,,8.0,,,,,,,,,,,,1.0,,,,9
90,2013-09-26,0,,,,,,,,,,,,,,,,,,,,,,0
91,2013-09-27,3.5,,,,,,,,,,,,,,,,,,,,,,0
92,2013-09-28,4,,7.0,,,,,,,,,,,,,,,,,,,,7
93,2013-09-29,0,,,,,,,,,,,,,,,,,,,,,,0
94,2013-09-30,0,,,,,,,,,,,,,,,,,,,,,,0
97,2014-10-02,4,,,,,,,,,,,1.0,,,,,,,,,,,1
98,2014-10-03,4,,3.0,,,,8.0,2.0,1.0,,,,,,,,,,,,,,14
99,2014-10-05,4,,12.0,1.0,,2.0,11.0,3.0,,,,11.0,,,,,,,,,,,40
100,2014-10-06,4,,49.0,1.0,2.0,1.0,5.0,1.0,,,,1.0,,,,,,,,,,,60
101,2014-10-07,4,,,,,,,1.0,,,,1.0,,,,,,,,,,,2
102,2014-10-08,4,,56.0,,,,6.0,1.0,,,1.0,5.0,,,3.0,,,,,,,,72
103,2014-10-09,6,,366.0,1.0,1.0,2.0,76.0,2.0,,,1.0,27.0,,,31.0,1.0,,,5.0,,1.0,3.0,517
104,2014-10-10,7,,1629.0,2.0,10.0,3.0,114.0,11.0,,3.0,4.0,49.0,,,7.0,3.0,1.0,1.0,4.0,,,,1841
105,2014-10-11,5,,752.0,,4.0,2.0,104.0,2.0,1.0,3.0,1.0,27.0,,,9.0,1.0,1.0,2.0,6.0,,,2.0,917
106,2014-10-14,3,,,,,,13.0,,,,,1.0,,,,,1.0,,,,,,15
107,2014-10-16,5,,,,,,15.0,2.0,6.0,,,,,,,,,,,,,,23
108,2014-10-17,4,,1.0,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,6
109,2014-10-18,7,,133.0,,,,149.0,,,5.0,,25.0,2.0,,9.0,,,,2.0,,,4.0,329
110,2014-10-19,6,,1035.0,,,2.0,157.0,7.0,1.0,31.0,,187.0,,2.0,10.0,,,,13.0,2.0,1.0,2.0,1450
111,2014-10-22,6,,598.0,,6.0,3.0,16.0,2.0,2.0,30.0,,197.0,,2.0,3.0,2.0,,1.0,,2.0,,,864
112,2014-10-23,6,,107.0,,1.0,1.0,30.0,1.0,,18.0,,165.0,,,3.0,,2.0,,3.0,2.0,,,333
113,2014-10-24,6,,214.0,,1.0,,6.0,,,2.0,,66.0,,1.0,,,,,3.0,,,,293
114,2014-10-25,3,,2.0,,,,,,,,,2.0,,,,,,,,,,,4
115,2014-10-26,3.25,,,,,,1.0,,,,,6.0,,,,,,,,,,,7
116,2014-10-27,3,,,,,,,,,,,,,,,,,,,,,,0
117,2014-10-28,3,,,,,,,,,,,,,,,,,,,,,,0
118,2014-10-29,3,,,,,,,,1.0,,,1.0,,,,,,,,,,,2
119,2014-10-30,3,,,,,,3.0,,,,,,,,,,2.0,,,,,,5
122,2014-11-01,4,,14.0,,1.0,4.0,3.0,3.0,1.0,11.0,2.0,98.0,1.0,1.0,,,,,14.0,,,,153
123,2014-11-02,6,,19.0,,1.0,3.0,5.0,1.0,,17.0,,158.0,1.0,1.0,,,,,13.0,,,2.0,221
124,2014-11-03,4,,,,,,,,,,,,,,,,,,,,,,0
125,2014-11-05,3,,,,,,,,,,,,,,,,,,,,,,0
126,2014-11-06,3,,,,,,,,,,,,,,,,,,,,,,0
127,2014-11-07,5,,1.0,,,1.0,14.0,1.0,,9.0,,109.0,,,,,,,3.0,,,,138
128,2014-11-09,2.5,,,,,,,1.0,,,,3.0,,,,,,,,,,,4
129,2014-11-10,5,,,,,,,,,,,2.0,,,,,,,,,,,2
130,2014-11-11,5,,3.0,,,,,,,,,,,,,,,,,,,,3
131,2014-11-12,5,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,3
132,2014-11-14,5,,,,,1.0,6.0,,2.0,1.0,,45.0,,1.0,,,,,1.0,,,,57
133,2014-11-21,4,,,,1.0,1.0,,,,7.0,,32.0,7.0,,,,,2.0,,,,,50
134,2014-11-23,2.5,,,,,,,,,,,,,,,,,,,,,,0
135,2014-11-25,4,,,,,,,,,,,,,,,,,,,,,,0
136,2014-11-26,4,,,,,,,1.0,,,,,,,,,,,,,,,1
137,2014-11-28,5,,,,,,2.0,1.0,1.0,2.0,,16.0,1.0,,,,1.0,,,,1.0,,25
140,2014-09-01,6,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,4
141,2014-09-02,3,,,,,,,1.0,,,,,,,,,,,,,,,1
142,2014-09-03,6,,,1.0,,,4.0,1.0,,,,,,,,1.0,,,,,,1.0,8
143,2014-09-04,6,,,,,,31.0,2.0,,,,2.0,,,1.0,1.0,,,,,,,37
144,2014-09-05,3,,,,,,4.0,,,,,,,,,,,,,,,,4
145,2014-09-06,7,,,1.0,5.0,,59.0,2.0,,1.0,,22.0,,,5.0,,,3.0,,,,2.0,100
146,2014-09-07,4,,1.0,1.0,3.0,,10.0,,,,2.0,1.0,,,2.0,,,,1.0,,,1.0,22
147,2014-09-08,3,,,,,,,,,,,,,,,,,,,,,,0
148,2014-09-09,3,,,,,,1.0,,,,,,,,,,,,,,,,1
149,2014-09-10,3,,,,,,,,,,,,,,,,,,,,,,0
150,2014-09-11,7,,,1.0,2.0,3.0,46.0,3.0,,,1.0,5.0,,,2.0,,,,1.0,,,1.0,65
151,2014-09-12,6,,6.0,2.0,7.0,1.0,58.0,3.0,,,24.0,22.0,,,8.0,2.0,1.0,,,1.0,,1.0,136
152,2014-09-13,4.5,,1.0,,1.0,,15.0,4.0,,,4.0,4.0,,,,1.0,,,,,,1.0,31
153,2014-09-14,4.25,,,2.0,4.0,1.0,26.0,2.0,,,5.0,1.0,,,2.0,,,1.0,2.0,,,1.0,47
154,2014-09-15,5,,1.0,1.0,,,3.0,,,,,2.0,,,,1.0,,,,,,,8
155,2014-09-16,8,,60.0,2.0,7.0,,143.0,14.0,,259.0,1330.0,12.0,,,17.0,2.0,3.0,,2.0,,,,1851
156,2014-09-17,5,,34.0,1.0,1.0,1.0,27.0,1.0,,,15.0,3.0,,,3.0,1.0,,,,,,1.0,88
157,2014-09-18,6,,60.0,2.0,11.0,7.0,184.0,15.0,,,634.0,15.0,,,23.0,3.0,1.0,,,,,1.0,956
158,2014-09-19,3,,1.0,,,,4.0,,,,,2.0,,,,,,,,,,,7
159,2014-09-21,1.5,,,,,,1.0,1.0,,,,,,,,,,,,,,,2
160,2014-09-22,6,,27.0,,4.0,3.0,196.0,14.0,,,142.0,10.0,,,8.0,1.0,,,,,,,405
161,2014-09-23,5,,38.0,,,,46.0,5.0,,,24.0,7.0,,,3.0,,,,,,,,123
162,2014-09-24,5,,,,1.0,,1.0,,,,,,,,,,,,,,,,2
163,2014-09-25,3,,,,,,2.0,,,,,1.0,,,,,,,,,,,3
164,2014-09-26,6,,,,,,3.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,8
165,2014-09-27,4,,12.0,,1.0,,13.0,3.0,,,,1.0,,,1.0,,,,1.0,,,,32
166,2014-09-28,2.75,,,,,,5.0,2.0,,,,,,,,,1.0,,,,,,8
167,2014-09-29,4,,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,6
168,2014-09-30,3,,1.0,,,3.0,,,,,,,,,,,,,,,,,4
171,2015-10-01,4,,225.0,,6.0,,9.0,1.0,,,,9.0,,,,,,,,,,,250
172,2015-10-02,5,,469.0,,,,1.0,,,,,8.0,,,,,1.0,,,,,,479
173,2015-10-03,3,,,,,,,,,,,1.0,,,,,,,,,,,1
174,2015-10-04,2,,6.0,,,,,,,,,,,,,,1.0,,,,,,7
175,2015-10-05,4,,,,,,1.0,,,,,,,,,,,,,,,,1
176,2015-10-06,4,,20.0,,1.0,2.0,9.0,1.0,,,,1.0,,1.0,,,,,,,,,35
177,2015-10-07,5,,66.0,1.0,,,17.0,4.0,,,,2.0,,,,,1.0,,,,,5.0,96
178,2015-10-08,3,,57.0,1.0,,,10.0,1.0,,,,2.0,,,,1.0,,1.0,,,,5.0,78
179,2015-10-09,4,,,,,,,,,,,,,,,,,,,,,,0
180,2015-10-10,4,,91.0,,,,3.0,,1.0,,,4.0,,1.0,,,,,1.0,,,,101
181,2015-10-11,5,,78.0,1.0,,,2.0,,,,,1.0,,1.0,,,1.0,,,,,,84
182,2015-10-12,5,,,,,,1.0,1.0,,,,,,,,,,,,,,,2
183,2015-10-13,4,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,4
184,2015-10-14,5,,223.0,,1.0,4.0,102.0,3.0,,2.0,,6.0,,1.0,3.0,1.0,,,1.0,,1.0,,348
185,2015-10-15,3,,2.0,,,,4.0,,,,,,,,1.0,,,,,,,,7
186,2015-10-16,6,,160.0,1.0,2.0,,65.0,5.0,1.0,2.0,,5.0,,,1.0,,2.0,1.0,,,,,245
187,2015-10-17,6,,2193.0,,10.0,13.0,116.0,14.0,,44.0,,189.0,,,3.0,2.0,2.0,4.0,19.0,,,,2609
188,2015-10-18,7,,607.0,,1.0,3.0,51.0,1.0,,15.0,,77.0,,,2.0,,,1.0,14.0,,,,772
189,2015-10-19,4,,,,2.0,,,,,,,,,,,,,,,,,,2
190,2015-10-20,4,,,,,,,,,,,,,,,,,,,,,,0
191,2015-10-22,5,,49.0,1.0,,5.0,26.0,9.0,3.0,7.0,,8.0,,3.0,1.0,2.0,,,,,,,114
192,2015-10-23,5,,79.0,,,,1.0,,,2.0,,7.0,1.0,2.0,,,,,,,,,92
193,2015-10-24,0,,,,,,,,,,,,,,,,,,,,,,0
194,2015-10-25,6,,192.0,,,2.0,35.0,1.0,2.0,15.0,2.0,133.0,,8.0,,,1.0,1.0,6.0,,,15.0,413
195,2015-10-26,5,,1.0,,,,1.0,,1.0,,,2.0,,,,,,,,,,,5
196,2015-10-27,3,,,,,,,1.0,,,,1.0,,,,,,,,,,,2
197,2015-10-28,0,,,,,,,,,,,,,,,,,,,,,,0
198,2015-10-29,3,,,,,,,,,,,,,,,,,,,,,,0
199,2015-10-30,6,,9.0,,,4.0,1.0,1.0,,2.0,,61.0,,,,,,,2.0,,,1.0,81
200,2015-10-31,3,,,,,,,,,,,,,,,,,,,,,,0
203,2015-11-01,4,,,,,,,,,,,,,,,,,,,,,,0
204,2015-11-02,4,,1.0,,,,,,,,,2.0,,,,,,,,,,,3
205,2015-11-03,5,,,,,,,,,,,,,,,,,,,,,,0
206,2015-11-04,5,,,,,,,,,,,1.0,,,,1.0,,,,,,,2
207,2015-11-05,5,,,,,,,,,,,,,,,,,,,,,,0
208,2015-11-06,4,,,,,,,,,,,,,,,,,,,,,,0
209,2015-11-07,5,,1.0,,,,1.0,,,2.0,,29.0,1.0,,,1.0,,,,,,1.0,36
210,2015-11-08,0,,,,,,,,,,,,,,,,,,,,,,0
211,2015-11-09,4,,,,,,,,,,,,,,,,,,,,,,0
212,2015-11-10,0,,,,,,,,,,,,,,,,,,,,,,0
213,2015-11-11,4,,,,,,,,,,,,,,,,,,,,,,0
214,2015-11-12,0,,,,,,,,,,,,,,,,,,,,,,0
215,2015-11-13,3,,,,,,,,,,,,,,,,,,,,,,0
216,2015-11-14,5,,,,,1.0,1.0,,,3.0,,50.0,4.0,,,,,1.0,,,,2.0,62
217,2015-11-15,3,,,,,,,,,,,1.0,,,,,,,,,,,1
218,2015-11-16,4,,,,,,,,,,,,,,,,,,,,,,0
219,2015-11-17,4,,,,,,,,,,,2.0,,1.0,,,,,,,,,3
220,2015-11-18,4,,,,,,,,,,,,,,,,1.0,,,,,,1
221,2015-11-19,4,,,,,,,,,,,,,,,1.0,,,,,,,1
222,2015-11-20,4,,,,,,,,,,,2.0,,,,,1.0,,,,,,3
223,2015-11-23,4,,,,,,,,,,,,,,,,,,,,,,0
224,2015-11-24,4,,,,,,,1.0,,,,1.0,,,,,,,,,,,2
225,2015-11-26,0,,,,,,,,,,,,,,,,,,,,,,0
226,2015-11-30,3,,,,,,,,,,,2.0,,,,,,,,,,,2
229,2015-09-01,4,,,,,,1.0,1.0,,,,2.0,,,1.0,,,,,,,,5
230,2015-09-02,2,,,,,,,,,,,1.0,,,,,,,,,,,1
231,2015-09-03,3,,,1.0,,,,,,,,,,,1.0,,,,,,,,2
232,2015-09-04,3,,1.0,1.0,1.0,,2.0,,,,,3.0,,,,,,1.0,,,,,9
233,2015-09-05,5,,,,,1.0,3.0,,,,,1.0,,,,1.0,,,,,,,6
234,2015-09-06,0,,,,,,,,,,,,,,,,,,,,,,0
235,2015-09-07,0,,,,,,,,,,,,,,,,,,,,,,0
236,2015-09-08,0,,,,,,,,,,,,,,,,,,,,,,0
237,2015-09-09,4,,,,,,2.0,,,,,,,,,,,,,,,,2
238,2015-09-10,5,,1.0,1.0,4.0,,,3.0,,,,7.0,,,1.0,,1.0,,,,,,18
