,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
484,2018-11-22,2,,,,,,,,,,,,,,,,,,,,,,0
485,2018-11-23,3,,,,,,,,,,,,,,,,,,,,,,0
486,2018-11-24,0,,,,,,,,,,,,,,,,,,,,,,0
487,2018-11-25,3,,,,,,,,,,,,,,,,,,,,,,0
488,2018-11-27,2,,,,,,,,,,,2.0,,,,,,,,,,,2
489,2018-11-28,3,,,,,,,,,,,,,,,,,1.0,,,,1.0,2
490,2018-11-29,3,,,,,,,,,,,,,,,,,,,,,,0
491,2018-11-30,0,,,,,,,,,,,,,,,,,,,,,,0
494,2018-09-01,6,,,1.0,,,,1.0,,,,,,,,,,,,,,,2
495,2018-09-02,4,,2.0,,,,,,,1.0,1.0,3.0,,,2.0,,,,,,,,9
496,2018-09-04,5,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,4
497,2018-09-05,4,,,,,,,,,,,1.0,,,,,1.0,,,,,,2
498,2018-09-06,6,,1.0,1.0,2.0,,1.0,,,,,2.0,,,3.0,,,,,,,,10
499,2018-09-07,6,,1.0,,11.0,1.0,1.0,3.0,,,14.0,7.0,,,,1.0,1.0,,1.0,,,,41
500,2018-09-08,6,,2.0,,11.0,,6.0,,,,1.0,14.0,,,2.0,,,,2.0,,,,38
501,2018-09-09,1,,,,,,1.0,,,,,,,,,,,,,,,,1
502,2018-09-10,0,,,,,,,,,,,,,,,,,,,,,,0
503,2018-09-11,5,,1.0,2.0,2.0,,7.0,,,,,5.0,,,,,,1.0,1.0,,,,19
504,2018-09-12,0,,,,,,,,,,,,,,,,,,,,,,0
505,2018-09-13,5,,,,,,5.0,,,,,1.0,,,,,,,,,,,6
506,2018-09-14,6,,,,,,,,,,,,,,,,,,,,,,0
507,2018-09-15,4,,,1.0,,,6.0,1.0,,,,,,,1.0,,1.0,,,,,,10
508,2018-09-16,5,,,,,,3.0,1.0,,,,1.0,,,2.0,,,,,,,,7
509,2018-09-17,5,,,,,,4.0,1.0,,,,,,,,,,,,,,,5
510,2018-09-18,8,,22.0,9.0,1.0,4.0,46.0,6.0,,,98.0,14.0,2.0,,44.0,2.0,3.0,,2.0,,,,253
511,2018-09-19,5,,14.0,6.0,9.0,7.0,28.0,6.0,,1.0,8.0,14.0,,1.0,9.0,,3.0,,,,,,106
512,2018-09-20,6,,3.0,,,,4.0,,,,,,,,,,,,,,,,7
513,2018-09-21,6,,,,,,3.0,,,,,,,,1.0,,,,,,,,4
514,2018-09-22,6,,40.0,1.0,5.0,7.0,89.0,1.0,,1.0,147.0,15.0,,,16.0,3.0,1.0,1.0,2.0,,,,329
515,2018-09-23,5,,7.0,2.0,2.0,2.0,12.0,1.0,,,3.0,2.0,,,1.0,,,,,,,,32
516,2018-09-24,6,,3.0,,,,,1.0,,,,,,,,1.0,,,,,,,5
517,2018-09-25,0,,,,,,,,,,,,,,,,,,,,,,0
518,2018-09-26,5,,4.0,,,3.0,7.0,2.0,,,,,,,3.0,,,,,,,,19
519,2018-09-27,6,,7.0,1.0,,,5.0,1.0,,1.0,1.0,,,,,,,,,,,,16
520,2018-09-28,6,,12.0,1.0,,,,,,,,,,,,,,,,,,,13
521,2018-09-29,7,,146.0,1.0,,2.0,29.0,3.0,,,5.0,3.0,,,2.0,,1.0,1.0,,,,,193
522,2018-09-30,7,,,,,,2.0,1.0,,,,,,,,,,,,,,,3
525,2019-10-01,5,,,,,,1.0,,,,,,,,,,,,,,,,1
526,2019-10-02,2,,,,,,,,,,,,,,,,,,,,,,0
527,2019-10-03,0,,,,,,,,,,,,,,,,,,,,,,0
528,2019-10-04,6,,938.0,,4.0,,20.0,6.0,1.0,,1.0,43.0,,,2.0,1.0,,,1.0,,,,1017
529,2019-10-05,4,,52.0,,,,,,,,,,,,,,,,,,,,52
530,2019-10-06,6,,,,,,,,,,,,,,,,,,,,,,0
531,2019-10-07,5,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,4
532,2019-10-08,4,,40.0,,4.0,,1.0,1.0,,,,2.0,,,,,,,,,,,48
533,2019-10-10,2,,4.0,,,,,,,,,,,,,,,,,,,,4
534,2019-10-12,2,,,,,,1.0,,,,,2.0,,,,,,,,,,,3
535,2019-10-13,2,,,,,,,1.0,,,,2.0,,,,,,,,,,,3
536,2019-10-14,3,,17.0,,,,1.0,,,,,,,,,,,,,,,,18
537,2019-10-15,5,,5.0,,,,,,,,,,,,,,,,,,,,5
538,2019-10-16,0,,,,,,,,,,,,,,,,,,,,,,0
539,2019-10-17,3,,6.0,,,1.0,2.0,,,,,,,,,1.0,,,,,,,10
540,2019-10-18,7,,988.0,,7.0,5.0,101.0,6.0,,21.0,,64.0,1.0,1.0,7.0,,1.0,,1.0,,1.0,1.0,1205
541,2019-10-19,2,,5.0,,,,,,,,,,,,,,,,,,,,5
542,2019-10-20,5,,64.0,,,,,,,,,2.0,,,,,,,,,,,66
543,2019-10-21,4,,1.0,,,,,,,,,,,,,,,,,,,,1
544,2019-10-22,0,,,,,,,,,,,,,,,,,,,,,,0
545,2019-10-23,4,,,,,,,,,,,,,,,,,,,,,,0
546,2019-10-24,4,,5.0,,,,1.0,,,,,,,,,,1.0,,,,,,7
547,2019-10-25,4,,,,,1.0,,1.0,,,,,,,,,,,,,,,2
548,2019-10-26,4,,5.0,,,1.0,,2.0,,,,11.0,,,,,,,,,,,19
549,2019-10-27,0,,,,,,,,,,,,,,,,,,,,,,0
550,2019-10-28,4,,,,,,,,,,,,,,,,,,,,,,0
551,2019-10-29,3,,,,,,,,,,,,,,,,,,,,,,0
552,2019-10-30,0,,,,,,,,,,,,,,,,,,,,,,0
553,2019-10-31,0,,,,,,,,,,,,,,,,,,,,,,0
556,2019-11-01,3,,,,,,,,,,,,,,,,,,,,,,0
557,2019-11-02,0,,,,,,,,,,,,,,,,,,,,,,0
558,2019-11-03,5,,11.0,,,,1.0,,,,,2.0,,1.0,,,,,,,,,15
559,2019-11-04,4,,2.0,,,,,,,,,,,,,,,,,,,,2
560,2019-11-05,3,,,,,,,,,,,,,,,,,,,,,,0
561,2019-11-06,3,,,,,,,,,,,,,,,,,,,,,,0
562,2019-11-07,3,,,,,,,,,,,,,,,,,,,,,,0
563,2019-11-08,7,,54.0,,2.0,,2.0,4.0,,3.0,,142.0,3.0,,,1.0,,,1.0,,,,212
564,2019-11-09,3,,,,,,,,,,,,,,,,,,,,,,0
565,2019-11-10,4,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,3
566,2019-11-12,4,,9.0,,2.0,,11.0,2.0,,8.0,,117.0,1.0,3.0,,1.0,,,3.0,,1.0,,158
567,2019-11-13,3,,,,,,,,,,,,,,,,,,,,,,0
568,2019-11-14,3,,,,,,,,,,,,,,,,,,,,,,0
569,2019-11-15,3,,,,,,,,,,,,,,,,,,,,,,0
570,2019-11-16,3,,,,,,,,,,,3.0,,,,,,,,,,,3
571,2019-11-17,0,,,,,,,,,,,,,,,,,,,,,,0
572,2019-11-18,0,,,,,,,,,,,,,,,,,,,,,,0
573,2019-11-19,3,,,,,,,,,,,,,,,1.0,,,,,,,1
574,2019-11-20,3,,,,,1.0,,,,,,,,,,,,,,,,,1
575,2019-11-21,0,,,,,,,,,,,,,,,,,,,,,,0
576,2019-11-22,3,,,,,,,,,,,2.0,1.0,,,,,,,,,,3
577,2019-11-23,4,,,,,,,,,,,,,,,,,,,,,,0
578,2019-11-24,3,,,,,,,,,,,,,,,,,,,,,,0
579,2019-11-25,3,,,,,,,,,,,,,,,,,,,,,,0
580,2019-11-26,4,,,,,,,,,,,,,,,,,,,,,,0
581,2019-11-27,0,,,,,,,,,,,,,,,,,,,,,,0
582,2019-11-28,4,,,,,,1.0,,,,,,,,,,,,,,,,1
583,2019-11-29,4,,,,,,,,,,,,,,,,,,,,,,0
584,2019-11-30,3,,,,,,,,,,,,,,,,,,,,,,0
587,2019-09-01,5,,,,,,,,,,,,,,,1.0,,,,,,,1
588,2019-09-03,0,,,,,,,,,,,,,,,,,,,,,,0
589,2019-09-04,4,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,3
590,2019-09-05,5,,1.0,,3.0,,1.0,,,,,1.0,,,,,1.0,,,,,,7
591,2019-09-06,5,,8.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,11
592,2019-09-07,7,,1.0,3.0,7.0,,71.0,28.0,,,20.0,9.0,,,1.0,,1.0,,,,,1.0,142
593,2019-09-08,7,,1.0,2.0,2.0,,73.0,5.0,,,152.0,20.0,7.0,,7.0,1.0,1.0,,,,,,271
594,2019-09-09,5,,2.0,,2.0,,2.0,,,,5.0,6.0,,,1.0,,,,,,,,18
595,2019-09-10,6,,2.0,,,,2.0,,,,,,,,,,,,,,,,4
596,2019-09-11,5,,,,,,,1.0,,,,,,,,,1.0,,,,,,2
597,2019-09-12,5,,2.0,,2.0,,3.0,,,,,1.0,,,,,,,,,,,8
598,2019-09-13,4,,,,,,,,,,,,,,,,,,,,,,0
599,2019-09-14,6,,,1.0,1.0,,,,,,,4.0,,,1.0,,2.0,,,,,,9
600,2019-09-15,0,,,,,,,,,,,,,,,,,,,,,,0
601,2019-09-16,4,,,1.0,,,3.0,,,,,,,,,,,,,,,,4
602,2019-09-17,4,,1.0,3.0,1.0,,27.0,5.0,,,1.0,4.0,,,10.0,3.0,,6.0,,,,,61
603,2019-09-18,4,,4.0,,,,2.0,,,,,,,,,,,,,,,,6
604,2019-09-19,5,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,4
605,2019-09-20,5,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,4
606,2019-09-21,5,,,,,1.0,20.0,5.0,,,1.0,,,,1.0,,1.0,,,,,,29
607,2019-09-22,6,,1.0,,,,2.0,,,,,1.0,,,2.0,,,,,,,,6
608,2019-09-23,6,,2.0,,1.0,4.0,29.0,2.0,,,6.0,3.0,,,9.0,2.0,1.0,,,,,1.0,60
609,2019-09-24,6,,17.0,1.0,6.0,3.0,63.0,5.0,,,261.0,7.0,,,67.0,1.0,4.0,1.0,2.0,,,1.0,439
610,2019-09-25,0,,,,,,,,,,,,,,,,,,,,,,0
611,2019-09-26,5,,2.0,4.0,,,10.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,21
612,2019-09-27,0,,,,,,,,,,,,,,,,,,,,,,0
613,2019-09-28,1,,,,,,,,,,,,,,,,,,,,,,0
614,2019-09-29,5,,3.0,,2.0,,2.0,1.0,,,,2.0,,,1.0,,,,,,,2.0,13
615,2019-09-30,4,,2.0,,,,1.0,,,,2.0,1.0,,,,,,,,,,,6
618,2020-10-01,5,,83.0,2.0,1.0,2.0,25.0,3.0,,1.0,,,,,3.0,1.0,,,,,,,121
619,2020-10-02,7,,173.0,,3.0,10.0,77.0,4.0,,,103.0,9.0,,,12.0,,2.0,,3.0,1.0,,,397
620,2020-10-03,3,,3.0,,,1.0,27.0,1.0,,4.0,,5.0,,,3.0,,,2.0,8.0,1.0,,,55
621,2020-10-05,6,,800.0,,,,41.0,2.0,,13.0,,39.0,,,3.0,1.0,,,,,,1.0,900
622,2020-10-07,3.5,,36.0,,,,2.0,,,1.0,,6.0,,,,1.0,,,,,,,46
623,2020-10-08,4,,138.0,,2.0,5.0,33.0,3.0,,,1.0,8.0,,,6.0,,1.0,,,,,,197
624,2020-10-09,5,,19.0,1.0,1.0,,3.0,1.0,,,,3.0,,,1.0,,,,,,,,29
625,2020-10-11,2,,,,,,1.0,,,,,3.0,,,,,,1.0,,,,,5
626,2020-10-12,3,,,,,,,,,,,,,,,,,,,,,,0
627,2020-10-13,5,,67.0,,,,49.0,3.0,,3.0,,44.0,,,,,,,2.0,,,,168
628,2020-10-14,4,,,,,1.0,6.0,,,,,,,,,,,,,,,,7
629,2020-10-16,5,,113.0,,,1.0,19.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,138
630,2020-10-20,6,,505.0,1.0,11.0,7.0,35.0,5.0,,14.0,,44.0,,2.0,1.0,1.0,2.0,,6.0,,,,634
631,2020-10-24,6,,188.0,,9.0,1.0,10.0,1.0,,23.0,,192.0,1.0,3.0,,,1.0,,4.0,,,,433
632,2020-10-30,6.5,,35.0,,1.0,2.0,6.0,3.0,,6.0,,176.0,2.0,,,,1.0,,5.0,,,2.0,239
635,2020-11-02,4.5,,2.0,,,,,,,,,8.0,,1.0,,,,,,,,,11
636,2020-11-17,5,,,,,,,1.0,,,,28.0,1.0,,,,,,,,,,30
637,2020-11-18,4,,,,,2.0,,1.0,,4.0,,60.0,,,,,,,1.0,,,,68
638,2020-11-21,4.5,,,,,,,,,1.0,,3.0,,,,,,,,,,,4
641,2020-09-10,4.5,,9.0,1.0,3.0,4.0,18.0,10.0,,,100.0,11.0,,,18.0,1.0,3.0,2.0,3.0,1.0,,,184
642,2020-09-14,4.5,,8.0,2.0,4.0,3.0,72.0,5.0,,,3283.0,5.0,,,31.0,4.0,3.0,12.0,2.0,1.0,,,3435
643,2020-09-17,7,,53.0,8.0,22.0,10.0,142.0,7.0,,,727.0,10.0,,,145.0,3.0,2.0,2.0,4.0,1.0,,5.0,1141
644,2020-09-18,8,,142.0,2.0,4.0,4.0,74.0,11.0,,1.0,737.0,23.0,,,28.0,1.0,1.0,2.0,1.0,,1.0,,1032
645,2020-09-21,1.25,,1.0,,,,,,,,,,,,,,,,,,,,1
646,2020-09-22,1.25,,,,,,,,,,,,,,,,,,,,,,0
647,2020-09-23,6,,14.0,1.0,,1.0,29.0,1.0,,,,3.0,,,1.0,,,1.0,,,,,51
648,2020-09-24,5,,,,,,1.0,,,,,,,,,,,,,,,,1
649,2020-09-25,3,,,,,,2.0,,,,,,,,,,,,,,,,2
652,2021-10-01,6,,5.0,1.0,1.0,1.0,16.0,2.0,,,,8.0,,,,,,2.0,4.0,,,,40
653,2021-10-09,2.5,,,,,,,,,,,,,,,,,,,,,,0
654,2021-10-15,6,,,,,,22.0,2.0,,,,,,,,1.0,1.0,2.0,,,,,28
655,2021-10-16,4,,18.0,,,,4.0,,,,,,,,,2.0,,,,,,,24
656,2021-10-17,6,,631.0,,2.0,2.0,72.0,1.0,1.0,22.0,1.0,89.0,,,8.0,2.0,2.0,,,,,,833
657,2021-10-18,8,,1595.0,,5.0,3.0,81.0,10.0,,23.0,1.0,80.0,,,1.0,2.0,1.0,,7.0,1.0,,,1810
658,2021-10-19,3,,,,,,5.0,3.0,,1.0,,,,,,,,1.0,1.0,,,,11
659,2021-10-22,7,,707.0,,2.0,6.0,53.0,3.0,1.0,27.0,,144.0,,,1.0,1.0,1.0,1.0,17.0,,,1.0,965
660,2021-10-23,2,,3.0,,,,,,,3.0,,5.0,,,,,,,,,,,11
661,2021-10-24,3,,,,,,1.0,,,,,,,,,,,,,,,,1
662,2021-10-27,7,,283.0,,6.0,,2.0,1.0,,2.0,,57.0,1.0,,,,,1.0,9.0,5.0,2.0,,369
663,2021-10-28,3,,,,,,,,,,,,,,,,,,,,,,0
664,2021-10-31,4.25,,9.0,,,,3.0,,,,,3.0,,,,,,,,,,,15
667,2021-11-03,7,,46.0,,,1.0,2.0,1.0,,2.0,,30.0,,,,,,,3.0,,,,85
668,2021-11-05,5.5,,81.0,,,,,,,,,21.0,,,,1.0,,,5.0,,,,108
669,2021-11-09,4,,,,1.0,4.0,3.0,,,,,8.0,1.0,1.0,,1.0,,,,,,,19
670,2021-11-15,4,,,,,,2.0,1.0,,,,,,,,,,,,,,,3
671,2021-11-16,3,,,,,,1.0,1.0,,1.0,,18.0,,1.0,,1.0,,,,,,,23
672,2021-11-19,4.5,,,,1.0,1.0,,1.0,,,,25.0,1.0,,,,,,,,,2.0,31
673,2021-11-22,3,,,,,,3.0,,,,,16.0,,,,,,,,,,,19
674,2021-11-29,2,,,,,,,,,,,,,,,,,,,,,,0
677,2021-09-01,5,,10.0,,20.0,2.0,1.0,2.0,,,3.0,,,,5.0,,,,,,,2.0,45
678,2021-09-02,5.5,,12.0,1.0,4.0,1.0,11.0,,,,259.0,5.0,,,7.0,1.0,,,13.0,,,3.0,317
679,2021-09-03,2.5,,3.0,,1.0,1.0,4.0,,,,3.0,,,,,,,,,,,,12
680,2021-09-04,2,,,,,,,,,,6.0,,,,,,,,,,,2.0,8
681,2021-09-05,3.25,,1.0,,,,1.0,,,,4.0,2.0,,,3.0,,1.0,,2.0,,,,14
682,2021-09-09,6,,,,1.0,,2.0,,,,5.0,,,,1.0,,2.0,,,,,,11
683,2021-09-12,3,,,,,,,,,,,,,,,,,,,,,,0
684,2021-09-13,5,,,,4.0,2.0,37.0,2.0,,,5.0,14.0,,,6.0,1.0,,1.0,,1.0,,,73
685,2021-09-15,4,,5.0,2.0,3.0,2.0,51.0,2.0,,,931.0,2.0,,,13.0,3.0,,1.0,4.0,1.0,,2.0,1022
686,2021-09-18,9,,37.0,1.0,3.0,3.0,82.0,5.0,,3.0,80.0,2.0,,,28.0,1.0,1.0,3.0,1.0,1.0,,7.0,258
687,2021-09-19,6,,23.0,,2.0,,10.0,,,,,,,,,,,,,,,,35
688,2021-09-21,2.5,,,,,,1.0,,,,,,,,,,,,,,,,1
689,2021-09-28,6.25,,353.0,1.0,8.0,6.0,276.0,8.0,,1.0,71.0,17.0,1.0,,43.0,3.0,4.0,,4.0,,1.0,4.0,801
690,2021-09-29,5,,221.0,,2.0,2.0,58.0,2.0,,2.0,4.0,7.0,,,1.0,1.0,1.0,,1.0,1.0,,5.0,308
691,2021-09-30,4.5,,167.0,,1.0,8.0,28.0,2.0,,2.0,1.0,12.0,,,1.0,,1.0,,,,,2.0,225
694,2022-10-05,3.5,,41.0,,,,3.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,48
695,2022-10-07,7.25,,258.0,,,,32.0,2.0,,,,15.0,,,8.0,1.0,2.0,,1.0,,,,319
696,2022-10-12,2,,,,,,1.0,,,,,,,,,,,,,,,,1
697,2022-10-19,3.5,,86.0,,,,3.0,2.0,,,,3.0,,,,2.0,,,,,,,96
698,2022-10-27,8.75,,426.0,,13.0,,6.0,4.0,1.0,27.0,,285.0,,3.0,2.0,,3.0,,30.0,,1.0,,801
701,2022-11-01,2.5,,,,,,1.0,,,,,9.0,,,,1.0,,,,,,,11
702,2022-11-02,2.5,,2.0,,,,,,,,,,,,,,,,,,,,2
703,2022-11-07,5,1.0,10.0,,2.0,,,5.0,,,,34.0,,4.0,,,,,,,,,56
704,2022-11-08,7.5,,9.0,,7.0,,,1.0,1.0,3.0,,52.0,,,,,,1.0,2.0,,1.0,,77
705,2022-11-12,3.5,,,,,,,,,,,2.0,,,,,,,,,,,2
706,2022-11-13,6,,,,,,2.0,,,1.0,,9.0,,1.0,,,,,2.0,1.0,,,16
707,2022-11-17,4,,1.0,,,,,,,,,6.0,,,,,,,,,,,7
710,2022-09-01,6.5,,6.0,5.0,7.0,,3.0,1.0,,,7.0,8.0,,,2.0,2.0,1.0,,,,,,42
711,2022-09-02,2.5,,,,,,,,,,,,,,,,,,,,,,0
712,2022-09-05,4,,6.0,6.0,2.0,,,,,,1.0,1.0,,,,1.0,,,,,,,17
713,2022-09-06,6,,9.0,,21.0,1.0,12.0,,,,13.0,2.0,,,4.0,,1.0,,3.0,,,,66
714,2022-09-08,3,,,2.0,2.0,,3.0,,,,,1.0,,,4.0,,,,2.0,,,1.0,15
715,2022-09-13,1,,,,,,,,,,,,,,,,,,,,,,0
716,2022-09-14,7.5,,9.0,12.0,9.0,17.0,201.0,,,,2714.0,14.0,,,91.0,10.0,2.0,,5.0,3.0,,1.0,3088
717,2022-09-15,2,,,1.0,,,2.0,,,,,,,,,,,,2.0,,,1.0,6
718,2022-09-20,8,,14.0,1.0,10.0,6.0,346.0,6.0,,1.0,375.0,11.0,,,76.0,5.0,1.0,,,,,8.0,860
719,2022-09-21,2,,,,,,2.0,1.0,,,,2.0,,,1.0,,,,,,,,6
720,2022-09-22,8,,57.0,2.0,4.0,5.0,218.0,3.0,,1.0,602.0,14.0,,,38.0,1.0,,,3.0,,,,948
721,2022-09-23,8,,324.0,,12.0,9.0,382.0,,,1.0,3166.0,8.0,,,38.0,,,,1.0,,,6.0,3947
722,2022-09-28,4.25,,111.0,1.0,5.0,9.0,127.0,12.0,,1.0,30.0,18.0,,,28.0,2.0,5.0,4.0,1.0,,,9.0,363
723,2022-09-29,5.75,,450.0,,16.0,6.0,51.0,,1.0,,9.0,12.0,,,16.0,1.0,2.0,,1.0,1.0,,8.0,574
